Organisation_Code,Specialty,Number_Of_Beds,Effective_Snapshot_Date
RA7,145,0.032609,30/09/2019
RBA,901,0,30/09/2019
RDU,146,0,30/09/2019
REM,145,0.641304,30/09/2019
REM,901,0,30/09/2019
R1C,361,0,30/09/2019
RWW,146,0,30/09/2019
RGR,900,0,30/09/2019
RA9,145,0,30/09/2019
RBD,901,0,30/09/2019
RHM,146,0,30/09/2019
REN,145,0,30/09/2019
REN,901,0,30/09/2019
R1F,361,0,30/09/2019
RXA,146,0,30/09/2019
RGT,900,0,30/09/2019
RBA,145,0,30/09/2019
RBZ,901,0,30/09/2019
RHU,146,0,30/09/2019
REP,145,0,30/09/2019
REP,901,0,30/09/2019
RA2,361,0,30/09/2019
RXL,146,0,30/09/2019
RM1,900,0,30/09/2019
RBD,145,0,30/09/2019
RD1,901,0,30/09/2019
RHW,146,0,30/09/2019
RET,145,0,30/09/2019
RET,901,0,30/09/2019
RDR,361,0,30/09/2019
RXN,146,0,30/09/2019
RMY,900,0,30/09/2019
RBZ,145,0,30/09/2019
RD3,901,0,30/09/2019
RN5,146,0,30/09/2019
RJN,145,0,30/09/2019
RJN,901,0,30/09/2019
RDU,361,0.021739,30/09/2019
RXR,146,0,30/09/2019
RQ8,900,0,30/09/2019
RD1,145,0,30/09/2019
RDY,901,0,30/09/2019
RN7,146,0,30/09/2019
RJR,145,0,30/09/2019
RJR,901,0,30/09/2019
RHM,361,0,30/09/2019
R0B,146,0,30/09/2019
RQW,900,0,30/09/2019
RD3,145,0,30/09/2019
RDZ,901,0,30/09/2019
RNU,146,0,30/09/2019
RM3,145,0,30/09/2019
RM3,901,0,30/09/2019
RHU,361,2.847826,30/09/2019
RAE,146,0,30/09/2019
RT1,900,0,30/09/2019
RDY,145,0,30/09/2019
REF,901,0,30/09/2019
RPA,146,0,30/09/2019
RMC,145,0,30/09/2019
RMC,901,0,30/09/2019
RHW,361,0.402174,30/09/2019
RCB,146,0,30/09/2019
RWG,900,0,30/09/2019
RDZ,145,0,30/09/2019
RH5,901,0,30/09/2019
RPC,146,0,30/09/2019
RMP,145,0.217391,30/09/2019
RMP,901,0,30/09/2019
RN5,361,0,30/09/2019
RCD,146,0,30/09/2019
RWH,900,0,30/09/2019
REF,145,0,30/09/2019
RH8,901,0,30/09/2019
RTH,146,0,30/09/2019
RQ6,145,0,30/09/2019
RQ6,901,0,30/09/2019
RN7,361,0,30/09/2019
RCF,146,0,30/09/2019
RWR,900,0,30/09/2019
RH5,145,0,30/09/2019
RJ8,901,0,30/09/2019
RTK,146,0,30/09/2019
RRF,145,0,30/09/2019
RRF,901,0,30/09/2019
RNU,361,0,30/09/2019
RCU,146,0,30/09/2019
RY3,900,0,30/09/2019
RH8,145,0,30/09/2019
RK9,901,0,30/09/2019
RTP,146,0,30/09/2019
RT2,145,0,30/09/2019
RT2,901,0,30/09/2019
RPA,361,0,30/09/2019
RFF,146,0,30/09/2019
R0A,900,0,30/09/2019
RJ8,145,0,30/09/2019
RN3,901,0,30/09/2019
RVV,146,0,30/09/2019
RTV,145,0,30/09/2019
RTV,901,0,30/09/2019
RPC,361,0,30/09/2019
RFR,146,0,30/09/2019
RBL,900,0,30/09/2019
RK9,145,1.576087,30/09/2019
RNZ,901,0,30/09/2019
RW1,146,0,30/09/2019
RTX,145,3.543478,30/09/2019
RTX,901,0,30/09/2019
RTH,361,6.25,30/09/2019
RGD,146,0,30/09/2019
RBN,900,0,30/09/2019
RN3,145,0,30/09/2019
RTE,901,0,30/09/2019
RWF,146,0,30/09/2019
RVY,145,0,30/09/2019
RVY,901,0,30/09/2019
RTK,361,0,30/09/2019
RHQ,146,0,30/09/2019
RBQ,900,0,30/09/2019
RNZ,145,0.119565,30/09/2019
RTQ,901,0,30/09/2019
RWX,146,0,30/09/2019
RW4,145,0,30/09/2019
RW4,901,0,30/09/2019
RTP,361,0,30/09/2019
RJL,146,0,30/09/2019
RBS,900,0,30/09/2019
RTE,145,0,30/09/2019
RVJ,901,0,30/09/2019
RR8,146,0,30/09/2019
RW5,145,0,30/09/2019
RW5,901,0,30/09/2019
RVV,361,0,30/09/2019
RNL,146,0,30/09/2019
RBT,900,0,30/09/2019
RTQ,145,0,30/09/2019
RVN,901,0,30/09/2019
RTD,146,0,30/09/2019
RW6,145,0,30/09/2019
RW6,901,0,30/09/2019
RW1,361,0,30/09/2019
RNN,146,0,30/09/2019
RBV,900,0,30/09/2019
RVJ,145,0,30/09/2019
RWV,901,0,30/09/2019
RTF,146,0,30/09/2019
RWJ,145,0,30/09/2019
RWJ,901,0,30/09/2019
RWF,361,0,30/09/2019
RP5,146,0,30/09/2019
REM,900,0,30/09/2019
RVN,145,0,30/09/2019
R1C,901,0,30/09/2019
RTR,146,0,30/09/2019
RWW,145,0,30/09/2019
RWW,901,0,30/09/2019
RWX,361,0,30/09/2019
RR7,146,0,30/09/2019
RXA,350,0,30/09/2019
RWV,145,0,30/09/2019
RX2,352,0,30/09/2019
RV9,146,0,30/09/2019
RXT,148,0,30/09/2019
R1F,350,0,30/09/2019
RX2,361,0,30/09/2019
R1H,148,0,30/09/2019
RXL,350,0,30/09/2019
R1C,145,0,30/09/2019
RXC,352,0,30/09/2019
RVW,146,0,30/09/2019
RXW,148,0,30/09/2019
RA2,350,0,30/09/2019
RXC,361,0,30/09/2019
R1K,148,0,30/09/2019
RXN,350,0,30/09/2019
RLY,147,0,30/09/2019
RXH,352,0,30/09/2019
